Selling Prices	Building Name	City	District	Address	Room Type	Size (m2)	Floor	Year	Month	Closest Station	Min to Station	Status	Coord
90.000.000	クランリビオ表參道	東京都	渋谷区	渋谷2-7-6	1LDK	36,8	2/14	2024	July	渋谷	6	Vacant	35.6600964,139.7052206
97.800.000	The CONOE 代官山	東京都	渋谷区	恵比寿南3-1-23	1LDK	38,22	6/13	2016	Feb	代官山	1	Vacant	35.6461495,139.7033243
67.000.000	パークリュス恵比寿	東京都	渋谷区	恵比寿西1-36-3	1R	31.95	8/8	2011	Sept	恵比寿	３	Checking	35.6475788,139.6995586
32.800.000	バレステュディオ広尾	東京都	渋谷区	広尾1-7-19	1R	21.17	6/15	2004	Feb	恵比寿	8	Owner Change	35.648602,139.7128368
45.000.000	クオリア広尾	東京都	渋谷区	広尾1-14-15	1R	25.2	3/14	2004	Mar	恵比寿	7	Occupied	35.6480848,139.7122183
42.000.000	ザ。パークハウス新宿	東京都	渋谷区	千駄ヶ谷5-13-9	1K	25.53	6/17	2012	Feb	北参道	7	Occupied	35.6882252,139.7072001
30.000.000	AXAS西新宿アジールコート	東京都	渋谷区	本町3-13−８	1K	21.75	5/7	2014	Apr	西新宿5丁目	２	Occupied	35.6897393,139.6805664
42.000.000	Premium Cube G渋谷神南	東京都	渋谷区	神南1-3-1	1k	24.17	6/19	2015	Jan	渋谷	６	Occupied	35.6650012,139.6987568
37.000.000	ガーラ。アウェニュー渋谷	東京都	渋谷区	東２丁目	1k	20.30	3/11	2013	Jun	恵比寿	12	Occupied	35.6534616,139.705735
117.500.000	リシェ広尾 1104号室	東京都	渋谷区	恵比寿3丁目39-9	2LDK	64,27	11/13	1999	Mar	広尾	11	Vacant	35.6433777,139.7206795
  
